country_iso3,country_name,dii_core_0_100_avg_2015_2019,dii_core_0_100_avg_2020_2022,delta_post_minus_pre,rank_2015_2019,rank_2020_2022,rank_change_post_minus_pre
ABW,Aruba,71.5996272426294,,,55.0,,
AFG,Afghanistan,15.023424199239273,17.362042848260582,2.33861864902131,173.0,174.0,1.0
AGO,Angola,14.395783489234503,22.0051800423994,7.6093965531648955,176.0,167.0,-9.0
ALB,Albania,56.78522794401213,62.881639938528444,6.096411994516316,94.0,89.0,-5.0
AND,Andorra,69.98427583592772,77.77601032636339,7.7917344904356725,61.0,53.0,-8.0
ARE,United Arab Emirates,89.1707268057367,87.4532617089136,-1.7174650968231049,11.0,22.0,11.0
ARG,Argentina,74.82974687059715,84.52324082434723,9.693493953750078,48.0,32.0,-16.0
ARM,Armenia,54.38865755034358,62.706610617513114,8.317953067169533,99.0,90.0,-9.0
ASM,American Samoa,,,,,,
ATG,Antigua and Barbuda,76.09359650950242,77.17719542727727,1.0835989177748502,44.0,54.0,10.0
AUS,Australia,96.49279857850254,97.45191204477355,0.9591134662710061,4.0,4.0,0.0
AUT,Austria,81.29430517085663,85.56863630213375,4.274331131277123,29.0,30.0,1.0
AZE,Azerbaijan,54.53778995291034,59.02215930844236,4.484369355532024,98.0,95.0,-3.0
BDI,Burundi,5.332501392906762,11.522041225297636,6.189539832390874,192.0,181.0,-11.0
BEL,Belgium,92.41616444019213,94.6818387622596,2.2656743220674684,7.0,9.0,2.0
BEN,Benin,16.040803986563027,18.289206250587092,2.2484022640240653,172.0,173.0,1.0
BFA,Burkina Faso,8.453995926540092,15.653797853742915,7.199801927202824,189.0,176.0,-13.0
BGD,Bangladesh,25.397698400434997,36.640790718421954,11.243092317986957,159.0,138.0,-21.0
BGR,Bulgaria,75.11132824813997,81.65235535904553,6.54102711090556,46.0,41.0,-5.0
BHR,Bahrain,70.44178249611352,72.5571680761068,2.115385579993287,59.0,62.0,3.0
BHS,"Bahamas, The",64.81440966300387,72.06727845392749,7.252868790923614,74.0,65.0,-9.0
BIH,Bosnia and Herzegovina,56.37971251517947,64.08514068912558,7.70542817394611,96.0,85.0,-11.0
BLR,Belarus,76.69047849209096,82.06038741265911,5.36990892056815,43.0,40.0,-3.0
BLZ,Belize,42.25579708323372,54.80608676294528,12.550289679711554,121.0,107.0,-14.0
BMU,Bermuda,78.17887043322254,,,37.0,,
BOL,Bolivia,36.42437658990566,49.90698188771802,13.482605297812356,130.0,117.0,-13.0
BRA,Brazil,59.93918151275246,67.67096203331573,7.7317805205632695,84.0,78.0,-6.0
BRB,Barbados,69.46889586026748,72.30719151004037,2.8382956497728884,62.0,64.0,2.0
BRN,Brunei Darussalam,58.845620120017806,67.23304117703243,8.387421057014627,89.0,80.0,-9.0
BTN,Bhutan,37.549281646100276,47.26055295241509,9.711271306314814,129.0,121.0,-8.0
BWA,Botswana,48.664583318056785,61.19432665503087,12.529743336974086,107.0,92.0,-15.0
CAF,Central African Republic,0.34143202215558166,,,200.0,,
CAN,Canada,80.58862871892948,84.84829267183822,4.259663952908738,30.0,31.0,1.0
CHE,Switzerland,87.34608258042584,92.13678861600816,4.790706035582318,15.0,15.0,0.0
CHL,Chile,75.42608338063317,83.59432545700622,8.168242076373048,45.0,37.0,-8.0
CHN,China,56.380326416474375,75.87361782220583,19.493291405731455,95.0,57.0,-38.0
CIV,Cote d'Ivoire,25.689959052759963,32.88756019558223,7.197601142822268,158.0,146.0,-12.0
CMR,Cameroon,20.61055287706955,24.69160019616328,4.081047319093727,164.0,164.0,0.0
COD,"Congo, Dem. Rep.",4.776805484321702,12.780350456869483,8.00354497254778,195.0,179.0,-16.0
COG,"Congo, Rep.",,27.42539391932936,,,158.0,
COL,Colombia,59.649125406354756,66.77752930889795,7.128403902543198,85.0,81.0,-4.0
COM,Comoros,13.576338642059048,27.711999750324605,14.135661108265557,177.0,157.0,-20.0
CPV,Cabo Verde,46.776422957206194,53.60211771124258,6.825694754036384,113.0,108.0,-5.0
CRI,Costa Rica,72.76056963449989,76.81628387832727,4.055714243827381,52.0,55.0,3.0
CUB,Cuba,31.856882351370906,43.029323227183134,11.172440875812228,139.0,128.0,-11.0
CUW,Curacao,68.59248119406311,,,66.0,,
CYM,Cayman Islands,91.11231495148509,,,9.0,,
CYP,Cyprus,80.13626705946548,92.72425330165011,12.587986242184627,33.0,11.0,-22.0
CZE,Czechia,77.63574514653314,84.44621779775683,6.810472651223691,39.0,33.0,-6.0
DEU,Germany,83.96208310213464,90.21083465290195,6.2487515507673095,25.0,20.0,-5.0
DJI,Djibouti,20.457100964711607,28.9064504502435,8.449349485531894,165.0,155.0,-10.0
DMA,Dominica,67.2083436816516,75.34262009787889,8.134276416227294,70.0,58.0,-12.0
DNK,Denmark,96.6772046189875,100.0,3.3227953810124973,3.0,1.0,-2.0
DOM,Dominican Republic,45.57810567203853,50.92753116258907,5.349425490550537,118.0,114.0,-4.0
DZA,Algeria,39.34311044743886,50.34026238498246,10.997151937543599,127.0,116.0,-11.0
ECU,Ecuador,46.55286794560059,56.09069218890979,9.537824243309203,114.0,104.0,-10.0
EGY,"Egypt, Arab Rep.",34.84802729056836,44.24588470341541,9.397857412847053,133.0,126.0,-7.0
ERI,Eritrea,1.0917757384810345,9.209723165609013,8.117947427127978,199.0,184.0,-15.0
ESP,Spain,83.98907881127167,90.83134007227694,6.842261261005277,24.0,19.0,-5.0
EST,Estonia,86.88460313706517,92.25704244639303,5.372439309327859,17.0,14.0,-3.0
ETH,Ethiopia,5.179557508687308,10.480958259203565,5.301400750516256,193.0,183.0,-10.0
FIN,Finland,95.76169547052571,99.6955185172129,3.933823046687195,5.0,2.0,-3.0
FJI,Fiji,49.93640815039111,57.56966663010041,7.633258479709298,105.0,100.0,-5.0
FRA,France,79.7531412179691,86.56754211051334,6.814400892544242,35.0,26.0,-9.0
FRO,Faroe Islands,82.47237972414838,,,27.0,,
FSM,"Micronesia, Fed. Sts.",20.87113107321906,23.39196863275028,2.52083755953122,163.0,166.0,3.0
GAB,Gabon,42.138504959475,47.9508611212787,5.812356161803699,122.0,120.0,-2.0
GBR,United Kingdom,86.41212280205286,89.85124245402892,3.439119651976057,18.0,21.0,3.0
GEO,Georgia,69.03962463360544,78.95659154445535,9.916966910849908,64.0,50.0,-14.0
GHA,Ghana,31.192263286200905,40.528270187754856,9.33600690155395,140.0,134.0,-6.0
GIB,Gibraltar,94.8352543573873,,,6.0,,
GIN,Guinea,18.114565096647233,24.913235691495142,6.798670594847909,170.0,163.0,-7.0
GMB,"Gambia, The",30.765011373237847,34.15194641205476,3.3869350388169153,141.0,144.0,3.0
GNB,Guinea-Bissau,13.466909702773194,25.02608073136071,11.559171028587517,178.0,162.0,-16.0
GNQ,Equatorial Guinea,11.312484871423493,26.097087670889284,14.784602799465791,185.0,160.0,-25.0
GRC,Greece,84.0300769012352,95.74271993766861,11.712643036433406,23.0,6.0,-17.0
GRD,Grenada,64.82146100389414,62.9038054435264,-1.9176555603677414,73.0,88.0,15.0
GRL,Greenland,64.95416773125166,,,72.0,,
GTM,Guatemala,34.121773699419535,45.13539093121273,11.013617231793198,135.0,125.0,-10.0
GUM,Guam,,,,,,
GUY,Guyana,34.01325482719974,51.37075934335576,17.35750451615602,136.0,112.0,-24.0
HKG,"Hong Kong SAR, China",97.52580546058437,100.0,2.4741945394156346,2.0,1.0,-1.0
HND,Honduras,26.107162191510668,35.50888048476292,9.401718293252252,154.0,139.0,-15.0
HRV,Croatia,72.6172580445591,79.00648372770473,6.389225683145639,53.0,48.0,-5.0
HTI,Haiti,16.342109993399895,,,171.0,,
HUN,Hungary,70.57730885957733,78.35097383615887,7.773664976581543,58.0,51.0,-7.0
IDN,Indonesia,46.3892139449514,56.34274036325525,9.953526418303852,116.0,103.0,-13.0
IMN,Isle of Man,,,,,,
IND,India,28.501110228105983,39.39888392622962,10.89777369812364,147.0,136.0,-11.0
IRL,Ireland,84.27319439765184,91.19814827431857,6.924953876666734,22.0,17.0,-5.0
IRN,"Iran, Islamic Rep.",52.371420702260174,71.43115523524342,19.05973453298325,101.0,68.0,-33.0
IRQ,Iraq,33.91151353918604,45.5420481481199,11.630534608933864,137.0,123.0,-14.0
ISL,Iceland,88.99110117651804,91.64639490857265,2.655293732054602,12.0,16.0,4.0
ISR,Israel,73.43160152753545,79.2530925495298,5.821491021994348,50.0,46.0,-4.0
ITA,Italy,72.83988763784376,80.07249421955898,7.232606581715217,51.0,45.0,-6.0
JAM,Jamaica,47.75500877000758,56.786388942788385,9.031380172780807,110.0,101.0,-9.0
JOR,Jordan,42.924817276963644,45.154996752208916,2.230179475245272,120.0,124.0,4.0
JPN,Japan,79.79282570292628,86.51636836988143,6.723542666955154,34.0,27.0,-7.0
KAZ,Kazakhstan,63.30286669679303,68.62455821123584,5.321691514442804,77.0,74.0,-3.0
KEN,Kenya,26.411441345344667,,,151.0,,
KGZ,Kyrgyz Republic,47.683504593298196,54.962438237992636,7.27893364469444,111.0,106.0,-5.0
KHM,Cambodia,28.309201342186206,35.107289340798914,6.798087998612708,148.0,142.0,-6.0
KIR,Kiribati,14.984055623523876,,,174.0,,
KNA,St. Kitts and Nevis,86.0638603122598,85.74318864918752,-0.32067166307228945,19.0,29.0,10.0
KOR,"Korea, Rep.",84.32622032792456,92.48593627004881,8.15971594212425,21.0,13.0,-8.0
KWT,Kuwait,70.81058131420133,69.21921957835411,-1.5913617358472152,57.0,72.0,15.0
LAO,Lao PDR,18.86345756426844,28.14720415588478,9.283746591616339,168.0,156.0,-12.0
LBN,Lebanon,41.999652799887144,46.983771881363275,4.9841190814761305,123.0,122.0,-1.0
LBR,Liberia,10.668256104492068,9.185702851346473,-1.4825532531455945,186.0,185.0,-1.0
LBY,Libya,,71.5308627098748,,,66.0,
LCA,St. Lucia,46.0758655595962,48.29815698682512,2.2222914272289174,117.0,119.0,2.0
LIE,Liechtenstein,83.69954656895408,92.64555250567139,8.946005936717313,26.0,12.0,-14.0
LKA,Sri Lanka,39.951306874288676,49.40837569119308,9.457068816904403,126.0,118.0,-8.0
LSO,Lesotho,26.581323070765855,30.477588889420065,3.8962658186542107,150.0,151.0,1.0
LTU,Lithuania,78.69652929854689,84.13330287767765,5.436773579130758,36.0,34.0,-2.0
LUX,Luxembourg,77.45037744539725,80.69888879203826,3.24851134664101,40.0,44.0,4.0
LVA,Latvia,80.46246218948878,83.01357287285792,2.5511106833691457,31.0,39.0,8.0
MAC,"Macao SAR, China",99.40933976674424,91.11233192039003,-8.297007846354205,1.0,18.0,17.0
MAF,St. Martin (French part),,,,,,
MAR,Morocco,46.43064723039601,58.07357674011724,11.642929509721228,115.0,99.0,-16.0
MCO,Monaco,88.28979103901543,95.15435841481049,6.864567375795062,14.0,7.0,-7.0
MDA,Moldova,61.41712256299191,70.93674790261385,9.519625339621932,80.0,69.0,-11.0
MDG,Madagascar,1.7010695143501213,12.219592592808453,10.518523078458331,198.0,180.0,-18.0
MDV,Maldives,61.561588924934064,62.298843439595494,0.73725451466143,79.0,91.0,12.0
MEX,Mexico,51.07943247222194,58.804418526369666,7.7249860541477275,104.0,96.0,-8.0
MHL,Marshall Islands,29.762208124781598,34.64395424696687,4.881746122185273,144.0,143.0,-1.0
MKD,North Macedonia,57.32555460205084,63.51597286503761,6.190418262986768,91.0,86.0,-5.0
MLI,Mali,22.440213025619993,30.71518877220856,8.274975746588566,162.0,150.0,-12.0
MLT,Malta,77.09438032021255,84.0298148434085,6.935434523195951,41.0,35.0,-6.0
MMR,Myanmar,26.148823786140827,40.59627998851326,14.447456202372432,152.0,133.0,-19.0
MNE,Montenegro,69.3122672511727,79.23464981631531,9.922382565142613,63.0,47.0,-16.0
MNG,Mongolia,48.34685756994104,67.33716338000978,18.990305810068747,108.0,79.0,-29.0
MNP,Northern Mariana Islands,,,,,,
MOZ,Mozambique,9.1492523619351,14.75941546070255,5.610163098767451,187.0,177.0,-10.0
MRT,Mauritania,12.74135490109893,29.25922006475489,16.51786516365596,181.0,153.0,-28.0
MUS,Mauritius,59.44037669211184,74.19028573084849,14.749909038736646,86.0,60.0,-26.0
MWI,Malawi,6.310244261322952,8.801995777831472,2.4917515165085202,191.0,187.0,-4.0
MYS,Malaysia,58.52642876336805,63.41804274070654,4.891613977338487,90.0,87.0,-3.0
NAM,Namibia,35.790314555749354,42.76398223995696,6.973667684207605,131.0,131.0,0.0
NCL,New Caledonia,59.32078384893048,,,87.0,,
NER,Niger,2.084947765245554,10.689655189870304,8.60470742462475,197.0,182.0,-15.0
NGA,Nigeria,25.807520782197606,31.4860661281766,5.678545345978993,156.0,148.0,-8.0
NIC,Nicaragua,35.49943695153439,38.775969171848466,3.276532220314074,132.0,137.0,5.0
NLD,Netherlands,92.10656108920323,98.59114525921272,6.484584170009498,8.0,3.0,-5.0
NOR,Norway,88.78633697510202,94.96101924398003,6.174682268878016,13.0,8.0,-5.0
NPL,Nepal,32.74604451848557,42.89840011128299,10.15235559279742,138.0,129.0,-9.0
NRU,Nauru,,,,,,
NZL,New Zealand,85.31731270582054,87.28006940818518,1.9627567023646435,20.0,23.0,3.0
OMN,Oman,61.15757109131374,64.7142680501332,3.556696958819458,82.0,83.0,1.0
PAK,Pakistan,11.758175339865819,20.09358014058678,8.335404800720962,183.0,169.0,-14.0
PAN,Panama,58.85111295980685,70.70226960892394,11.851156649117094,88.0,70.0,-18.0
PER,Peru,51.45532101365052,58.56510898288841,7.1097879692378925,103.0,98.0,-5.0
PHL,Philippines,40.42937936683795,52.084392404258814,11.655013037420865,125.0,110.0,-15.0
PLW,Palau,,53.26242817079876,,,109.0,
PNG,Papua New Guinea,12.032949152909017,19.797933716524387,7.76498456361537,182.0,170.0,-12.0
POL,Poland,74.96845794977698,81.64719099315563,6.6787330433786565,47.0,42.0,-5.0
PRI,Puerto Rico (US),62.798829999862654,68.48053596507191,5.681705965209254,78.0,75.0,-3.0
PRK,"Korea, Dem. People's Rep.",,,,,,
PRT,Portugal,77.84997811771174,87.07103443126613,9.221056313554385,38.0,24.0,-14.0
PRY,Paraguay,48.207849243603604,60.2821446373714,12.074295393767798,109.0,94.0,-15.0
PSE,West Bank and Gaza,46.892554155962145,51.79912343203074,4.906569276068595,112.0,111.0,-1.0
PYF,French Polynesia,57.150886650556934,,,93.0,,
QAT,Qatar,61.16281419440192,64.88771867223632,3.7249044778344,81.0,82.0,1.0
ROU,Romania,64.06901148615586,73.33841961017929,9.269408124023428,76.0,61.0,-15.0
RUS,Russian Federation,77.06770453426006,78.96311658861514,1.8954120543550772,42.0,49.0,7.0
RWA,Rwanda,13.025972871229385,24.660100546118397,11.634127674889012,180.0,165.0,-15.0
SAU,Saudi Arabia,71.74300621033956,81.22965435260785,9.486648142268294,54.0,43.0,-11.0
SDN,Sudan,13.098952382161595,19.288046075007973,6.189093692846377,179.0,171.0,-8.0
SEN,Senegal,25.1727194510978,29.740975772813005,4.568256321715204,160.0,152.0,-8.0
SGP,Singapore,87.34563438187848,94.5972467768258,7.2516123949473155,16.0,10.0,-6.0
SLB,Solomon Islands,19.337278028245898,26.79658804797633,7.459310019730431,166.0,159.0,-7.0
SLE,Sierra Leone,18.30887298811956,21.427910120033424,3.1190371319138634,169.0,168.0,-1.0
SLV,El Salvador,41.67899365119723,51.283474510036406,9.604480858839175,124.0,113.0,-11.0
SMR,San Marino,68.36536678665726,70.14663821934347,1.7812714326862107,67.0,71.0,4.0
SOM,"Somalia, Fed. Rep.",5.049984980960688,12.821806260205655,7.771821279244967,194.0,178.0,-16.0
SRB,Serbia,67.57803617751095,74.85913996500288,7.281103787491929,68.0,59.0,-9.0
SSD,South Sudan,0.2959404352589937,,,201.0,,
STP,Sao Tome and Principe,27.842861322215875,35.33047220528343,7.487610883067553,149.0,140.0,-9.0
SUR,Suriname,53.23127905118357,56.61639617929055,3.3851171281069767,100.0,102.0,2.0
SVK,Slovak Republic,70.39139133004502,78.12554986011214,7.73415853006712,60.0,52.0,-8.0
SVN,Slovenia,80.46160815594384,86.09542573610857,5.633817580164731,32.0,28.0,-4.0
SWE,Sweden,90.99538159450478,97.45162644323723,6.456244848732453,10.0,5.0,-5.0
SWZ,Eswatini,29.612491165419744,43.55684594017498,13.944354774755237,145.0,127.0,-18.0
SXM,Sint Maarten (Dutch part),,,,,,
SYC,Seychelles,68.90190186319624,76.30659805465746,7.404696191461213,65.0,56.0,-9.0
SYR,Syrian Arab Republic,26.120803246258482,,,153.0,,
TCA,Turks and Caicos Islands,,,,,,
TCD,Chad,2.0893948269513514,8.16094311861711,6.071548291665759,196.0,188.0,-8.0
TGO,Togo,14.98371223792422,25.178983907422406,10.195271669498187,175.0,161.0,-14.0
THA,Thailand,60.86369403500496,68.69213612332497,7.82844208832001,83.0,73.0,-10.0
TJK,Tajikistan,24.32854443216475,42.81259416340192,18.484049731237167,161.0,130.0,-31.0
TKM,Turkmenistan,25.921074847931028,33.89752417422947,7.9764493262984395,155.0,145.0,-10.0
TLS,Timor-Leste,29.845446811880393,35.319952725800114,5.474505913919721,143.0,141.0,-2.0
TON,Tonga,34.560444526970905,41.7327832315454,7.172338704574493,134.0,132.0,-2.0
TTO,Trinidad and Tobago,67.25244557248902,71.45704876734794,4.204603194858919,69.0,67.0,-2.0
TUN,Tunisia,49.63128981816088,60.327575978509515,10.696286160348635,106.0,93.0,-13.0
TUR,Turkiye,70.97350879439725,83.24913274678829,12.275623952391044,56.0,38.0,-18.0
TUV,Tuvalu,,50.52432618703044,,,115.0,
TZA,Tanzania,8.804713166433858,18.336603912299267,9.53189074586541,188.0,172.0,-16.0
UGA,Uganda,8.435586344932291,17.143760975080266,8.708174630147974,190.0,175.0,-15.0
UKR,Ukraine,64.77803621064461,72.35907973577734,7.581043525132728,75.0,63.0,-12.0
URY,Uruguay,74.56313051419961,83.60828487652556,9.045154362325945,49.0,36.0,-13.0
USA,United States,81.33789668335079,86.8604324038011,5.522535720450307,28.0,25.0,-3.0
UZB,Uzbekistan,38.20568250418796,55.95725494189747,17.751572437709505,128.0,105.0,-23.0
VCT,St. Vincent and the Grenadines,51.99219726044025,58.75048967296385,6.758292412523602,102.0,97.0,-5.0
VEN,"Venezuela, RB",43.09709100118593,,,119.0,,
VGB,British Virgin Islands,65.9957642874326,67.86438344835751,1.8686191609249079,71.0,77.0,6.0
VIR,Virgin Islands (U.S.),,,,,,
VNM,Viet Nam,55.21581221994147,68.36671601934601,13.150903799404546,97.0,76.0,-21.0
VUT,Vanuatu,30.481170857044173,40.372601059691966,9.891430202647793,142.0,135.0,-7.0
WSM,Samoa,28.715905580647842,32.8742902824973,4.158384701849457,146.0,147.0,1.0
XKX,Kosovo,,,,,,
YEM,"Yemen, Rep.",11.403963435409343,8.861136587923315,-2.542826847486028,184.0,186.0,2.0
ZAF,South Africa,57.20331582026667,64.5071749854746,7.303859165207939,92.0,84.0,-8.0
ZMB,Zambia,19.301428954092966,28.973168364715267,9.671739410622301,167.0,154.0,-13.0
ZWE,Zimbabwe,25.78796774531769,31.407210375692376,5.619242630374686,157.0,149.0,-8.0
